Provider_ID,Name,Specialty,Rating,Schedule,Location,Languages,Experience (years),Hospital Affiliation,Age Group
1,Dr. Rodriguez,Cardiology,4.8,"9am-18pm, Tue",Chennai,"['Tamil', 'English']",2,Chennai General Hospital,Adult Specialist (18+ years)
2,Dr. Smith,Oncology,3.0,"9am-17pm, Tue",Mumbai,"['Marathi', 'Hindi', 'English']",26,Mumbai General Hospital,Adult Specialist (18+ years)
3,Dr. King,Endocrinology,4.5,"9am-18pm, Fri",Hyderabad,"['Telugu', 'Urdu', 'English']",17,Hyderabad General Hospital,Adult Specialist (18+ years)
4,Dr. Hernandez,Cardiology,3.5,"10am-17pm, Tue",Delhi,"['Hindi', 'Punjabi', 'English']",17,Delhi General Hospital,Adult Specialist (18+ years)
5,Dr. Young,Pediatrics,4.2,"10am-17pm, Fri",Chennai,"['Tamil', 'English']",7,Chennai General Hospital,Child Specialist (0-18 years)
6,Dr. Walker,Psychiatry,4.0,"8am-16pm, Mon",Mumbai,"['Marathi', 'Hindi', 'English']",2,Mumbai General Hospital,Adult Specialist (18+ years)
7,Dr. Garcia,Neurology,3.7,"8am-16pm, Thu",Kolkata,"['Bengali', 'Hindi', 'English']",4,Kolkata General Hospital,Adult Specialist (18+ years)
8,Dr. Davis,Dermatology,3.6,"10am-17pm, Mon",Ahmedabad,"['Gujarati', 'Hindi', 'English']",27,Ahmedabad General Hospital,Adult Specialist (18+ years)
9,Dr. Hall,Pediatrics,3.7,"10am-17pm, Fri",Jaipur,"['Rajasthani', 'Hindi', 'English']",10,Jaipur General Hospital,Child Specialist (0-18 years)
10,Dr. White,Endocrinology,3.5,"9am-16pm, Thu",Kolkata,"['Bengali', 'Hindi', 'English']",24,Kolkata General Hospital,Adult Specialist (18+ years)
11,Dr. Lee,Neurology,3.8,"8am-16pm, Wed",Kolkata,"['Bengali', 'Hindi', 'English']",21,Kolkata General Hospital,Adult Specialist (18+ years)
12,Dr. Phillips,Dermatology,5.0,"9am-17pm, Wed",Hyderabad,"['Telugu', 'Urdu', 'English']",3,Hyderabad General Hospital,Adult Specialist (18+ years)
13,Dr. Moore,Urology,4.7,"10am-16pm, Mon",Kolkata,"['Bengali', 'Hindi', 'English']",25,Kolkata General Hospital,Adult Specialist (18+ years)
